# Plain UART-style lines
# speed=1.0
T,DIR,ANG_PCT,STEER,PWM_MS,FPS
1767380560.08,RIGHT,20,+0.201,1.600,22.19
1767380560.22,RIGHT,18,+0.184,1.592,22.19
1767380560.36,RIGHT,17,+0.174,1.587,22.19
1767380560.49,RIGHT,21,+0.216,1.608,22.19
1767380560.62,RIGHT,24,+0.241,1.621,22.19
1767380560.75,RIGHT,20,+0.203,1.602,22.19
1767380560.89,RIGHT,20,+0.204,1.602,22.19
1767380561.03,RIGHT,20,+0.206,1.603,22.36
1767380561.16,RIGHT,17,+0.171,1.586,22.36
1767380561.29,RIGHT,15,+0.154,1.577,22.36
1767380561.42,RIGHT,16,+0.169,1.585,22.36
1767380561.55,RIGHT,14,+0.142,1.571,22.36
1767380561.69,STRAIGHT,0,+0.000,1.500,22.36
1767380561.82,STRAIGHT,0,+0.000,1.500,22.36
1767380561.96,STRAIGHT,0,+0.000,1.500,22.36
1767380562.09,STRAIGHT,0,+0.000,1.500,22.64
1767380562.21,STRAIGHT,0,+0.000,1.500,22.64
1767380562.35,STRAIGHT,0,+0.000,1.500,22.64
1767380562.48,STRAIGHT,0,+0.000,1.500,22.64
1767380562.61,STRAIGHT,0,+0.000,1.500,22.64
1767380562.75,STRAIGHT,0,+0.000,1.500,22.64
1767380562.88,RIGHT,12,+0.123,1.561,22.64
1767380563.02,RIGHT,15,+0.151,1.575,22.58
1767380563.15,RIGHT,23,+0.232,1.616,22.58
1767380563.29,RIGHT,29,+0.294,1.647,22.58
1767380563.41,RIGHT,34,+0.350,1.675,22.58
1767380563.54,RIGHT,40,+0.404,1.702,22.58
1767380563.67,RIGHT,54,+0.544,1.772,22.58
1767380563.81,RIGHT,63,+0.636,1.818,22.58
1767380563.95,RIGHT,71,+0.718,1.859,22.58
1767380564.08,RIGHT,81,+0.812,1.906,22.66
1767380564.22,RIGHT,85,+0.859,1.929,22.66
1767380564.34,RIGHT,90,+0.905,1.952,22.66
1767380564.47,RIGHT,94,+0.941,1.971,22.66
1767380564.60,RIGHT,96,+0.966,1.983,22.66
1767380564.73,RIGHT,97,+0.974,1.987,22.66
1767380564.87,RIGHT,97,+0.979,1.990,22.66
1767380565.00,RIGHT,94,+0.943,1.971,22.66
1767380565.13,RIGHT,92,+0.922,1.961,22.67
1767380565.27,RIGHT,87,+0.875,1.938,22.67
1767380565.40,RIGHT,82,+0.826,1.913,22.67
1767380565.54,RIGHT,82,+0.821,1.910,22.67
1767380565.67,RIGHT,84,+0.847,1.923,22.67
1767380565.80,RIGHT,86,+0.863,1.931,22.67
1767380565.93,RIGHT,88,+0.887,1.943,22.67
1767380566.06,RIGHT,85,+0.857,1.928,22.64
1767380566.20,RIGHT,81,+0.814,1.907,22.64
1767380566.33,RIGHT,70,+0.701,1.851,22.64
1767380566.47,RIGHT,56,+0.566,1.783,22.64
1767380566.60,RIGHT,49,+0.500,1.750,22.64
1767380566.72,RIGHT,49,+0.491,1.745,22.64
1767380566.86,RIGHT,45,+0.455,1.727,22.64
1767380566.99,RIGHT,34,+0.350,1.675,22.64
1767380567.12,RIGHT,32,+0.327,1.664,22.59
1767380567.26,RIGHT,28,+0.286,1.643,22.59
1767380567.39,RIGHT,23,+0.238,1.619,22.59
1767380567.52,RIGHT,23,+0.231,1.615,22.59
1767380567.66,RIGHT,23,+0.232,1.616,22.59
1767380567.79,RIGHT,22,+0.220,1.610,22.59
1767380567.93,RIGHT,20,+0.205,1.603,22.59
1767380568.06,RIGHT,18,+0.184,1.592,22.59
1767380568.19,RIGHT,17,+0.170,1.585,22.58
1767380568.32,RIGHT,12,+0.128,1.564,22.58
1767380568.46,STRAIGHT,0,+0.000,1.500,22.58
1767380568.58,STRAIGHT,0,+0.000,1.500,22.58
1767380568.72,STRAIGHT,0,+0.000,1.500,22.58
1767380568.86,STRAIGHT,0,+0.000,1.500,22.58
1767380568.99,STRAIGHT,0,+0.000,1.500,22.58
1767380569.13,STRAIGHT,0,+0.000,1.500,22.41
1767380569.26,STRAIGHT,0,+0.000,1.500,22.41
1767380569.39,STRAIGHT,0,+0.000,1.500,22.41
1767380569.52,STRAIGHT,0,+0.000,1.500,22.41
1767380569.65,STRAIGHT,0,+0.000,1.500,22.41
1767380569.78,STRAIGHT,0,+0.000,1.500,22.41
1767380569.91,STRAIGHT,0,+0.000,1.500,22.41
1767380570.03,STRAIGHT,0,+0.000,1.500,22.41
1767380570.18,STRAIGHT,0,+0.000,1.500,22.92
1767380570.31,RIGHT,13,+0.139,1.570,22.92
1767380570.45,RIGHT,19,+0.192,1.596,22.92
1767380570.59,RIGHT,20,+0.207,1.603,22.92
1767380570.73,RIGHT,17,+0.172,1.586,22.92
1767380570.87,RIGHT,11,+0.118,1.559,22.92
1767380571.00,STRAIGHT,0,+0.000,1.500,22.92
1767380571.13,RIGHT,18,+0.188,1.594,21.97
1767380571.27,RIGHT,15,+0.156,1.578,21.97
1767380571.39,STRAIGHT,0,+0.000,1.500,21.97
1767380571.52,STRAIGHT,0,+0.000,1.500,21.97
1767380571.65,STRAIGHT,0,+0.000,1.500,21.97
1767380571.78,RIGHT,10,+0.107,1.554,21.97
1767380571.92,RIGHT,16,+0.168,1.584,21.97
1767380572.06,RIGHT,21,+0.211,1.606,21.97
1767380572.19,RIGHT,33,+0.332,1.666,22.61
1767380572.33,RIGHT,49,+0.493,1.746,22.61
1767380572.46,RIGHT,64,+0.642,1.821,22.61
1767380572.59,RIGHT,68,+0.689,1.845,22.61
1767380572.72,RIGHT,65,+0.653,1.826,22.61
1767380572.85,RIGHT,70,+0.702,1.851,22.61
1767380572.98,RIGHT,62,+0.624,1.812,22.61
1767380573.12,RIGHT,60,+0.608,1.804,22.61
1767380573.25,RIGHT,62,+0.624,1.812,22.60
1767380573.39,RIGHT,59,+0.592,1.796,22.60
1767380573.52,RIGHT,56,+0.566,1.783,22.60
